,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
1,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,... >= 7 years,4,none,real estate,67,none,own,0
2,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,... < 100 DM,1 <= ... < 4 years,2,none,real estate,22,none,own,1
3,no checking account,12,critical account/ other credits existing (not at this bank),education,2096,... < 100 DM,4 <= ... < 7 years,2,none,real estate,49,none,own,0
4,... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,guarantor,building society savings agreement/ life insurance,45,none,for free,0
5,... < 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,none,unknown / no property,53,none,for free,1
6,no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= ... < 4 years,2,none,unknown / no property,35,none,for free,0
7,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,none,building society savings agreement/ life insurance,53,none,own,0
8,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",35,none,rent,0
9,no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,2,none,real estate,61,none,own,0
10,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
11,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",25,none,rent,1
12,... < 0 DM,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year,3,none,building society savings agreement/ life insurance,24,none,rent,1
13,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",22,none,own,0
14,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",60,none,own,1
15,... < 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",28,none,rent,0
16,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",32,none,own,1
17,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,53,none,own,0
18,... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",25,bank,own,0
19,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,none,unknown / no property,44,none,for free,1
20,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",31,none,own,0
21,no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",48,none,own,0
22,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,real estate,44,none,rent,0
23,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year,1,none,real estate,48,none,rent,0
24,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year,3,none,building society savings agreement/ life insurance,44,none,own,0
25,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
26,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... < 100 DM,1 <= ... < 4 years,1,none,real estate,36,bank,own,0
27,no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",39,none,own,0
28,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,... >= 1000 DM,1 <= ... < 4 years,3,none,real estate,42,none,rent,0
29,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... < 100 DM,1 <= ... < 4 years,3,guarantor,real estate,34,none,own,0
30,... < 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,3,none,unknown / no property,63,none,own,1
31,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,... >= 1000 DM,... < 1 year,3,none,real estate,36,bank,own,0
32,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",27,stores,own,0
33,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
34,no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,57,none,rent,0
35,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,33,bank,own,0
36,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,25,none,own,1
37,no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM,1 <= ... < 4 years,1,none,unknown / no property,31,bank,for free,0
38,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,... < 100 DM,1 <= ... < 4 years,4,co-applicant,real estate,37,stores,own,1
39,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",37,none,own,0
40,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM,1 <= ... < 4 years,4,none,real estate,24,none,own,0
41,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",30,bank,own,0
42,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
43,0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... < 100 DM,1 <= ... < 4 years,2,none,real estate,44,none,own,0
44,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",24,none,rent,0
45,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,... >= 7 years,4,none,unknown / no property,58,stores,for free,1
46,no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
47,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",39,none,own,0
48,... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,none,building society savings agreement/ life insurance,23,none,rent,0
49,no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,39,none,own,0
50,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,co-applicant,real estate,28,none,own,0
51,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,none,building society savings agreement/ life insurance,29,bank,own,0
52,0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
53,no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
54,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,31,none,own,0
55,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,none,unknown / no property,57,bank,for free,1
56,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,guarantor,real estate,26,stores,own,0
57,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,none,unknown / no property,52,none,own,1
58,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",31,stores,own,0
59,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",23,none,own,0
60,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,... < 100 DM,... < 1 year,4,co-applicant,unknown / no property,23,none,rent,1
61,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... < 100 DM,1 <= ... < 4 years,2,none,real estate,27,bank,own,0
62,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,... >= 7 years,4,guarantor,real estate,50,none,own,0
63,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,... >= 7 years,4,none,unknown / no property,61,none,for free,1
64,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",25,none,own,1
65,no checking account,24,existing credits paid back duly till now,radio/television,3181,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,26,none,own,0
66,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,48,none,own,0
67,no checking account,12,existing credits paid back duly till now,radio/television,2171,... < 100 DM,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",29,bank,own,0
68,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,22,none,own,0
69,no checking account,36,existing credits paid back duly till now,education,1819,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,37,stores,for free,1
70,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",25,none,own,0
71,no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,30,bank,own,0
72,no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,46,none,rent,0
73,... < 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,... < 100 DM,... >= 7 years,3,none,unknown / no property,51,bank,for free,0
74,0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,none,real estate,41,bank,own,0
75,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,40,none,own,1
76,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,... < 100 DM,... >= 7 years,4,none,unknown / no property,66,none,for free,0
77,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,1
78,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,51,none,own,0
79,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,39,none,own,0
80,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,22,none,own,0
81,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",44,none,own,1
82,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,47,stores,own,0
83,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,24,none,rent,0
84,... < 0 DM,24,existing credits paid back duly till now,others,1755,... < 100 DM,... >= 7 years,4,guarantor,real estate,58,none,own,0
85,... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... < 100 DM,... >= 7 years,3,none,real estate,52,none,own,0
86,no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,guarantor,real estate,29,none,own,0
87,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,27,none,own,0
88,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,unknown / no property,47,none,for free,1
89,... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
90,... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,... < 100 DM,4 <= ... < 7 years,4,none,real estate,28,none,own,1
91,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,4,none,real estate,56,none,own,0
92,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,... >= 7 years,4,none,real estate,54,none,own,0
93,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,33,bank,own,1
94,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,... >= 7 years,4,co-applicant,unknown / no property,20,none,rent,0
